OMP_NUM_THREADS,Cols,Rows,Execution_Time
1,1000,1000,0.612129
2,1000,2000,0.604147
3,1000,3000,0.622527
4,1000,4000,0.651261
5,1000,5000,0.666305
6,1000,6000,0.734281
7,1000,7000,0.700734
8,1000,8000,0.733706
9,1000,9000,0.716995
10,1000,10000,0.794086
11,1000,11000,0.811937
12,1000,12000,0.784149
13,1000,13000,0.776008
14,1000,14000,0.804313
15,1000,15000,0.795996
16,1000,16000,0.833219
17,1000,17000,0.874942
18,1000,18000,0.880165
19,1000,19000,0.925130
20,1000,20000,0.943563
21,1000,21000,0.964416
22,1000,22000,0.993286
23,1000,23000,1.019658
24,1000,24000,1.010941
25,1000,25000,0.944638
26,1000,26000,0.987290
27,1000,27000,1.032973
28,1000,28000,1.058626
29,1000,29000,1.027722
30,1000,30000,1.109965
31,1000,31000,1.109696
32,1000,32000,1.136267
33,1000,33000,1.141276
34,1000,34000,1.216037
35,1000,35000,1.076249
36,1000,36000,1.198307
37,1000,37000,1.256422
38,1000,38000,1.198995
39,1000,39000,1.204821
40,1000,40000,1.187835
41,1000,41000,1.251534
42,1000,42000,1.585761
43,1000,43000,1.645979
44,1000,44000,1.773024
45,1000,45000,1.599169
46,1000,46000,1.445350
47,1000,47000,1.472721
48,1000,48000,1.425344
49,1000,49000,1.629835
50,1000,50000,1.562149
51,1000,51000,1.784805
52,1000,52000,1.732911
53,1000,53000,1.566048
54,1000,54000,1.703079
55,1000,55000,1.566077
56,1000,56000,1.662804
57,1000,57000,1.714737
58,1000,58000,1.786319
59,1000,59000,1.629653
60,1000,60000,1.717879
61,1000,61000,1.644231
62,1000,62000,1.724146
63,1000,63000,1.752605
64,1000,64000,1.928564
65,1000,65000,1.977588
66,1000,66000,1.790069
67,1000,67000,1.922899
68,1000,68000,1.850775
69,1000,69000,1.893357
70,1000,70000,1.902844
71,1000,71000,1.831262
72,1000,72000,1.924899
73,1000,73000,1.893029
74,1000,74000,1.918648
75,1000,75000,1.910462
76,1000,76000,2.011360
77,1000,77000,1.903104
78,1000,78000,2.154633
79,1000,79000,2.074731
80,1000,80000,2.055967
81,1000,81000,2.089909
82,1000,82000,2.326818
83,1000,83000,0.844420
84,1000,84000,0.855743
85,1000,85000,0.869392
86,1000,86000,0.878958
87,1000,87000,0.889804
88,1000,88000,0.900683
89,1000,89000,0.923666
90,1000,90000,0.927395
91,1000,91000,0.937381
92,1000,92000,0.947171
93,1000,93000,0.957796
94,1000,94000,0.966535
95,1000,95000,0.976344
96,1000,96000,0.985882
97,1000,97000,0.996424
98,1000,98000,1.006962
99,1000,99000,1.026558
100,1000,100000,1.029513
101,1000,101000,1.040977
102,1000,102000,1.049174
103,1000,103000,1.059904
104,1000,104000,1.068706
105,1000,105000,1.078890
106,1000,106000,1.089137
107,1000,107000,1.098842
108,1000,108000,1.107430
109,1000,109000,1.127924
110,1000,110000,1.131651
111,1000,111000,1.142341
112,1000,112000,1.153952
113,1000,113000,1.164038
114,1000,114000,1.173896
115,1000,115000,1.183258
116,1000,116000,1.193258
117,1000,117000,1.203184
118,1000,118000,1.213023
119,1000,119000,1.221759
120,1000,120000,1.251462
121,1000,121000,1.245094
122,1000,122000,1.254417
123,1000,123000,1.264962
124,1000,124000,1.274642
125,1000,125000,1.285470
126,1000,126000,1.296155
127,1000,127000,1.305526
128,1000,128000,1.345797
